products,,,,,,,,
ProductID,Name,Category,Price,SupplierID,StockQuantity,,,
1,Author,Home & Garden,999.99,82,743,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity)","('1', 'Author', 'Home & Garden', '999.99', '82', '743'),"
2,Finally,Home & Garden,331.85,70,403,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('2', 'Finally', 'Home & Garden', '331.85', 70', 403');","('2', 'Finally', 'Home & Garden', '331.85', '70', '403'),"
3,Consider,Electronics,638.36,56,695,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('3', 'Consider', 'Electronics', '638.36', 56', 695');","('3', 'Consider', 'Electronics', '638.36', '56', '695'),"
4,Fall,Books,589.26,30,290,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('4', 'Fall', 'Books', '589.26', 30', 290');","('4', 'Fall', 'Books', '589.26', '30', '290'),"
5,Difference,Electronics,973.85,41,30,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('5', 'Difference', 'Electronics', '973.85', 41', 30');","('5', 'Difference', 'Electronics', '973.85', '41', '30'),"
6,World,Electronics,786.19,28,431,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('6', 'World', 'Electronics', '786.19', 28', 431');","('6', 'World', 'Electronics', '786.19', '28', '431'),"
7,Reveal,Electronics,995.7,75,967,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('7', 'Reveal', 'Electronics', '995.7', 75', 967');","('7', 'Reveal', 'Electronics', '995.7', '75', '967'),"
8,Enter,Books,651.08,89,221,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('8', 'Enter', 'Books', '651.08', 89', 221');","('8', 'Enter', 'Books', '651.08', '89', '221'),"
9,International,Electronics,321.27,16,228,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('9', 'International', 'Electronics', '321.27', 16', 228');","('9', 'International', 'Electronics', '321.27', '16', '228'),"
10,Reveal,Toys & Games,311.28,23,249,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('10', 'Reveal', 'Toys & Games', '311.28', 23', 249');","('10', 'Reveal', 'Toys & Games', '311.28', '23', '249'),"
11,Without,Electronics,783.55,78,476,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('11', 'Without', 'Electronics', '783.55', 78', 476');","('11', 'Without', 'Electronics', '783.55', '78', '476'),"
12,Report,Home & Garden,443.82,79,796,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('12', 'Report', 'Home & Garden', '443.82', 79', 796');","('12', 'Report', 'Home & Garden', '443.82', '79', '796'),"
13,Paper,Books,532.53,22,512,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('13', 'Paper', 'Books', '532.53', 22', 512');","('13', 'Paper', 'Books', '532.53', '22', '512'),"
14,Side,Toys & Games,884.55,2,522,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('14', 'Side', 'Toys & Games', '884.55', 2', 522');","('14', 'Side', 'Toys & Games', '884.55', '2', '522'),"
15,Away,Books,814.21,46,166,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('15', 'Away', 'Books', '814.21', 46', 166');","('15', 'Away', 'Books', '814.21', '46', '166'),"
16,Be,Home & Garden,802.58,60,919,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('16', 'Be', 'Home & Garden', '802.58', 60', 919');","('16', 'Be', 'Home & Garden', '802.58', '60', '919'),"
17,Work,Clothing,527.99,35,114,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('17', 'Work', 'Clothing', '527.99', 35', 114');","('17', 'Work', 'Clothing', '527.99', '35', '114'),"
18,College,Home & Garden,607.38,84,574,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('18', 'College', 'Home & Garden', '607.38', 84', 574');","('18', 'College', 'Home & Garden', '607.38', '84', '574'),"
19,Prevent,Books,364.87,18,259,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('19', 'Prevent', 'Books', '364.87', 18', 259');","('19', 'Prevent', 'Books', '364.87', '18', '259'),"
20,Return,Electronics,910.32,66,534,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('20', 'Return', 'Electronics', '910.32', 66', 534');","('20', 'Return', 'Electronics', '910.32', '66', '534'),"
21,Soon,Toys & Games,539.33,60,480,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('21', 'Soon', 'Toys & Games', '539.33', 60', 480');","('21', 'Soon', 'Toys & Games', '539.33', '60', '480'),"
22,Base,Electronics,800.39,51,523,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('22', 'Base', 'Electronics', '800.39', 51', 523');","('22', 'Base', 'Electronics', '800.39', '51', '523'),"
23,Sport,Clothing,129.86,82,421,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('23', 'Sport', 'Clothing', '129.86', 82', 421');","('23', 'Sport', 'Clothing', '129.86', '82', '421'),"
24,Seek,Clothing,709.53,65,428,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('24', 'Seek', 'Clothing', '709.53', 65', 428');","('24', 'Seek', 'Clothing', '709.53', '65', '428'),"
25,Real,Clothing,390.82,73,442,,"INSERT INTO products(ProductID, Name, Category, Price, SupplierID, StockQuantity) VALUES ('25', 'Real', 'Clothing', '390.82', 73', 442');","('25', 'Real', 'Clothing', '390.82', '73', '442'),"
